Category ID,Category Name,Description,Inclusion Criteria,Example IDs
C01,App performance or UI failures,"Problems where the app or interface malfunctions during normal use, such as freezing, blank screens, crashes, or pages not loading correctly. Excludes login/authentication failures or service-wide outages unless clearly tied to UI malfunction.","User reports app screens freezing, blank or crashing while trying to use features or settings; performance issues localized to the client experience rather than access credentials or billing.","1,9,324,739"
C02,Account access or authentication blocked,"Situations where the user cannot log in or complete authentication due to password, 2FA, or login errors. Excludes general app crashes unrelated to sign-in.","Mentions of password reset links failing, 2FA codes not arriving, accounts locked despite correct credentials, or email login failures.","12,311,347,703"
C03,Billing charges and refunds,"Issues about money taken or returned: unexpected fees, duplicate charges, incorrect invoices, or refund denials. Excludes cancellation requests unless the main concern is the charge itself.","Complaints about unexpected charges, billing twice, invoice mismatches, refund denials, or undisclosed fees.","10,15,302,699"
C04,Cancellation or plan changes,"Requests to cancel service, stop renewals, or downgrade to a cheaper/free plan. Includes cases where cancellation was attempted but charges or renewals continued. Excludes pricing disputes without explicit cancellation intent.","User explicitly asking to cancel, end subscription, stop renewals, or move to a free tier, including frustration that cancellation options are missing.","3,307,323,741"
C05,Shipping or delivery problems,"Physical fulfillment issues such as damaged items, wrong items, missing deliveries, or stalled shipment tracking. Excludes digital delivery or billing issues.","Reports of damaged shipments, incorrect items, packages marked delivered but missing, or tracking numbers not updating.","8,14,348,962"
C06,Feature requests or product enhancements,"Suggestions or requests for new or improved functionality. Excludes troubleshooting existing broken features.","User asks for new modes, integrations, customization options, export formats, or similar product improvements.","22,333,735,988"
C07,Misdirected or out-of-scope inquiries,"Messages sent to the wrong department or about a different service than intended. Excludes disputes about policy content.","User notes they contacted the wrong team/inbox or asks to be routed elsewhere; mentions request pertains to a different service.","7,19,299,963"
C08,Documentation or onboarding confusion,"Difficulties following help instructions or onboarding steps because guidance is unclear or mismatched. Excludes authentication failures unless tied to unclear instructions.","Mentions that help pages don't match the app, onboarding asks for unavailable info, or instructions are unclear; user needs better guidance.","18,332,724,976"
C09,Service outage or system downtime,"Reports that the entire service is unavailable or not loading for the user/team, suggesting a broader outage. Excludes isolated app crashes or personal network issues.","User cannot access anything, nothing loads, or asks about known outages affecting multiple users or teams.","2,300,733,975"
C10,Positive feedback or praise,"Notes expressing satisfaction, gratitude, or compliments about the product or support. Excludes issue-focused messages with only minor praise.","User explicitly thanks or praises updates, workflow improvements, or support responsiveness without raising a substantive problem.","16,319,700,958"
C11,Policy or expectation disputes,"Complaints about policies or conflicting information from teams, such as cancellation rules or sales vs support promises. Excludes general billing errors unless framed as policy unfairness.","User feels misled by cancellation policy, cites conflicting statements from sales/support, or disputes terms presented during purchase.","714,720,957,956"
